Customer_ID,Asset_Types,Investment_Amounts,Current_Values,Investment_Date
Customer_49,"Bonds, Stocks, Crypto","19708.06, 39255.34, 22060.68","18874.93, 261.64, 47451.21","2024-03-20, 2024-08-30, 2022-05-13"
Customer_50,"Gold, Stocks, Bonds","49995.85, 20748.22, 34256.48","46482.83, 139.71, 6120.9","2024-05-18, 2023-08-27, 2020-03-23"
Customer_51,"Stocks, Real Estate, Bonds","15734.52, 26310.25, 10147.53","395.1, 14228.4, 38398.61","2021-03-22, 2022-08-10, 2023-12-03"
Customer_52,"Stocks, Real Estate","37326.08, 40000.63","310.41, 56088.79","2020-12-01, 2021-09-29"
Customer_53,"Gold, Crypto","35480.63, 48117.78","15908.14, 39604.89","2022-03-23, 2024-01-04"
Customer_54,"Stocks, Real Estate","15928.22, 36373.69","412.49, 48792.5","2021-09-09, 2024-10-07"
Customer_55,"Gold, Crypto","40218.59, 20624.17","25381.4, 35298.04","2022-05-27, 2023-09-16"
Customer_56,"Bonds, Gold, Stocks","5569.35, 23902.64, 27059.08","54036.63, 30285.66, 245.97","2022-06-06, 2022-01-11, 2023-07-25"
Customer_57,"Stocks, Real Estate","28478.6, 34270.58","398.59, 30568.06","2023-06-15, 2024-07-13"
Customer_58,"Stocks, Real Estate","31661.36, 19503.71","175.52, 29794.11","2021-05-17, 2024-08-28"
Customer_59,"Bonds, Stocks, Crypto","30643.23, 35068.48, 20137.85","15001.19, 209.67, 22917.62","2022-10-09, 2024-10-08, 2021-10-27"
Customer_60,"Bonds, Gold, Stocks","44614.4, 36553.27, 17432.09","9708.71, 44604.11, 299.83","2020-01-21, 2022-11-24, 2021-01-26"
Customer_61,"Stocks, Real Estate, Bonds","36077.42, 34065.63, 27086.96","149.72, 43048.29, 21841.33","2024-06-11, 2020-02-05, 2020-07-09"
Customer_62,"Gold, Crypto","21605.92, 29906.28","59814.73, 37519.42","2021-12-05, 2022-05-21"
Customer_63,"Bonds, Gold, Stocks","36628.47, 17191.24, 16313.17","22355.14, 45858.46, 136.19","2020-09-04, 2024-01-17, 2021-01-29"
Customer_64,"Stocks, Real Estate","26788.94, 37606.33","177.35, 10528.94","2024-04-05, 2022-12-10"
Customer_65,"Stocks, Real Estate, Bonds","18331.09, 21239.65, 18602.04","70.48, 7998.93, 21067.52","2023-12-21, 2022-12-29, 2020-09-16"
Customer_66,Gold,33704.13,31998.33,2024-03-21
Customer_67,Stocks,30832.89,248.21,2022-08-19
Customer_68,Gold,48447.39,56758.5,2021-06-01
Customer_69,Bonds,10133.92,27038.91,2020-05-13
Customer_70,Stocks,30965.95,118.28,2023-11-06
Customer_71,Crypto,47710.65,59695.91,2020-06-23
Customer_72,Stocks,30113.29,318.26,2022-05-02
Customer_73,Crypto,15155.92,29018.9,2022-12-06
Customer_74,Bonds,18380.89,59451.72,2023-04-20
Customer_75,Real Estate,30588.33,38529.7,2020-05-03
Customer_76,Stocks,47641.56,169.09,2021-03-01
Customer_77,Stocks,12067.57,83.78,2020-12-21
Customer_78,Stocks,23383.29,261.46,2023-11-12
Customer_79,Stocks,15416.43,366.34,2023-12-18
Customer_80,Bonds,8203.09,55815.11,2021-04-23
Customer_81,Crypto,34753.24,31256.95,2021-02-09
Customer_82,Crypto,15116.43,55420.57,2020-11-01
Customer_83,Gold,8213.44,48594.57,2020-12-05
Customer_84,Crypto,38703.1,56059.63,2023-03-11
Customer_85,Bonds,10595.91,21725.02,2023-11-11
Customer_86,Bonds,47420.43,34698.99,2022-10-21
Customer_87,Bonds,8619.88,53918.26,2020-03-22
Customer_88,Real Estate,32167.11,10022.98,2020-02-22
Customer_89,Crypto,31420.53,59978.62,2020-02-12
Customer_90,Real Estate,30931.11,46594.79,2024-04-11
Customer_91,Bonds,28353.37,55384.0,2022-06-24
Customer_92,Gold,49862.55,39913.16,2022-06-11
Customer_93,Bonds,48607.49,24137.86,2022-08-20
Customer_94,Real Estate,19447.62,52175.32,2020-08-02
Customer_95,Real Estate,23524.03,20851.98,2022-10-11
Customer_96,Bonds,41610.47,7018.34,2023-01-31
Customer_97,Stocks,19153.27,486.58,2021-10-24
Customer_98,Bonds,43920.98,59346.56,2024-08-16
Customer_99,Crypto,25788.94,19379.13,2020-04-21
Customer_100,Real Estate,33018.52,39397.48,2022-10-17
Customer_101,Stocks,14160.12,467.45,2023-01-29
